machine_id,timestamp,voltage,rpm,pressure_psi,vibration_mm_s,temperature_c,current,power_kw,load_pct,operating_state,maintenance_count,error_count_24h,error_count_7d,age,vibration_delta,pressure_delta,temperature_delta,failure
PUMP-CRITICAL,2026-01-01T00:00:00,461.58,3473.84,126.28,14.54,108.58,53.3,24.6,85.93,running,6,0,2,6,0.0,0.0,0.0,0
PUMP-CRITICAL,2026-01-01T00:05:00,460.47,3256.02,119.93,14.43,105.24,54.47,25.08,97.83,running,6,0,0,6,-0.1082,-6.3451,-3.3346,0
PUMP-CRITICAL,2026-01-01T00:10:00,476.95,3564.37,116.36,12.43,94.81,55.41,26.43,96.34,running,6,0,4,6,-1.9946,-3.5663,-10.4297,0
PUMP-CRITICAL,2026-01-01T00:15:00,480.4,3269.75,135.41,12.87,112.36,54.82,26.34,81.96,running,6,0,0,6,0.4325,19.0461,17.5503,0
PUMP-CRITICAL,2026-01-01T00:20:00,469.32,3415.13,118.02,10.75,106.27,54.88,25.76,77.53,running,6,0,0,6,-2.1156,-17.394,-6.0996,0
PUMP-CRITICAL,2026-01-01T00:25:00,463.36,3216.6,133.86,13.75,96.35,51.84,24.02,78.09,running,6,0,3,6,2.9976,15.8462,-9.9181,0
PUMP-CRITICAL,2026-01-01T00:30:00,478.61,3516.04,130.23,13.56,103.98,55.75,26.68,88.14,running,6,0,2,6,-0.1916,-3.6359,7.6322,0
PUMP-CRITICAL,2026-01-01T00:35:00,482.0,3499.26,136.16,13.38,111.69,56.03,27.0,80.14,running,6,0,0,6,-0.1735,5.9299,7.7118,0
PUMP-CRITICAL,2026-01-01T00:40:00,484.06,3496.14,128.45,11.91,114.17,56.33,27.27,88.26,running,6,0,1,6,-1.4709,-7.7047,2.4768,0
PUMP-CRITICAL,2026-01-01T00:45:00,469.32,3135.5,123.62,12.8,93.04,54.1,25.39,82.93,running,6,0,1,6,0.8933,-4.8268,-21.1308,0
PUMP-CRITICAL,2026-01-01T00:50:00,464.74,3450.33,133.99,11.33,117.1,54.22,25.2,84.7,running,6,0,4,6,-1.4763,10.3662,24.0678,0
PUMP-CRITICAL,2026-01-01T00:55:00,480.63,3274.69,133.88,10.26,115.77,54.24,26.07,75.49,running,6,0,1,6,-1.0714,-0.116,-1.332,0
