machine_id,timestamp,voltage,rpm,pressure_psi,vibration_mm_s,temperature_c,current,power_kw,load_pct,operating_state,maintenance_count,error_count_24h,error_count_7d,age,vibration_delta,pressure_delta,temperature_delta,failure
PUMP-HEALTHY,2026-01-01T00:00:00,475.25,2977.5,99.56,2.47,66.77,48.27,22.94,57.3,running,1,0,1,12,0.0,0.0,0.0,0
PUMP-HEALTHY,2026-01-01T00:05:00,477.33,3010.2,101.93,2.43,67.01,47.76,22.8,45.49,running,1,0,1,12,-0.0409,2.3662,0.2463,0
PUMP-HEALTHY,2026-01-01T00:10:00,481.98,2984.03,99.09,2.91,63.37,45.27,21.82,37.32,running,1,0,0,12,0.4824,-2.8404,-3.6473,0
PUMP-HEALTHY,2026-01-01T00:15:00,482.3,3003.62,104.81,1.76,65.52,50.7,24.45,55.74,running,1,0,0,12,-1.1574,5.7235,2.1545,0
PUMP-HEALTHY,2026-01-01T00:20:00,475.46,2972.79,100.03,1.16,62.33,45.49,21.63,37.53,running,1,0,2,12,-0.5975,-4.7861,-3.1925,0
PUMP-HEALTHY,2026-01-01T00:25:00,478.55,3017.02,102.91,2.37,60.71,49.17,23.53,50.87,running,1,0,2,12,1.2075,2.887,-1.6139,0
PUMP-HEALTHY,2026-01-01T00:30:00,484.9,3014.0,101.9,2.37,68.43,49.12,23.82,54.4,running,1,0,2,12,0.0021,-1.0141,7.7145,0
PUMP-HEALTHY,2026-01-01T00:35:00,475.66,3041.31,101.97,2.44,62.13,49.72,23.65,47.48,running,1,0,1,12,0.0666,0.0716,-6.3023,0
PUMP-HEALTHY,2026-01-01T00:40:00,477.47,3006.14,99.84,2.17,68.98,46.76,22.33,44.99,running,1,0,0,12,-0.2667,-2.1311,6.852,0
PUMP-HEALTHY,2026-01-01T00:45:00,482.56,3036.11,99.07,1.32,66.8,48.74,23.52,49.91,running,1,0,2,12,-0.8492,-0.7693,-2.1734,0
PUMP-HEALTHY,2026-01-01T00:50:00,484.71,3036.08,98.08,2.44,66.82,48.18,23.35,48.42,running,1,0,3,12,1.1215,-0.9895,0.0123,0
PUMP-HEALTHY,2026-01-01T00:55:00,476.58,2950.32,103.05,2.44,69.72,49.47,23.58,54.05,running,1,0,4,12,-0.0021,4.9743,2.9018,0
PUMP-HEALTHY,2026-01-01T01:00:00,481.09,2965.28,103.34,2.08,67.79,46.78,22.51,48.26,running,1,0,2,12,-0.3606,0.2829,-1.9326,0
PUMP-HEALTHY,2026-01-01T01:05:00,483.79,3033.17,100.15,1.12,68.78,49.22,23.81,58.67,running,1,0,4,12,-0.9629,-3.185,0.9938,0
PUMP-HEALTHY,2026-01-01T01:10:00,482.66,2962.84,101.33,2.1,62.65,50.14,24.2,56.81,running,1,0,1,12,0.9838,1.1744,-6.1295,0
PUMP-HEALTHY,2026-01-01T01:15:00,482.13,2989.9,102.7,1.75,69.0,47.5,22.9,46.29,running,1,0,4,12,-0.3528,1.3748,6.3456,0
PUMP-HEALTHY,2026-01-01T01:20:00,477.3,2972.02,98.5,2.26,62.29,51.59,24.62,57.64,running,1,0,3,12,0.5154,-4.2049,-6.7067,0
PUMP-HEALTHY,2026-01-01T01:25:00,477.14,2963.23,104.55,2.14,64.73,50.82,24.25,54.62,running,1,0,3,12,-0.1201,6.0516,2.4373,0
PUMP-HEALTHY,2026-01-01T01:30:00,478.54,2991.11,104.05,1.11,66.53,47.33,22.65,51.15,running,1,0,0,12,-1.0337,-0.5017,1.8078,0
PUMP-HEALTHY,2026-01-01T01:35:00,477.49,2969.02,101.14,1.84,62.79,48.91,23.35,41.25,running,1,0,4,12,0.7354,-2.9066,-3.7491,0
PUMP-HEALTHY,2026-01-01T01:40:00,475.98,3015.21,101.78,1.03,60.93,48.3,22.99,53.84,running,1,0,3,12,-0.8142,0.6438,-1.8528,0
PUMP-HEALTHY,2026-01-01T01:45:00,484.02,2966.46,98.02,1.78,69.27,49.31,23.87,54.63,running,1,0,4,12,0.7513,-3.769,8.3326,0
PUMP-HEALTHY,2026-01-01T01:50:00,481.62,2998.67,99.33,1.44,60.58,47.99,23.11,53.39,running,1,0,3,12,-0.3454,1.3142,-8.6803,0
PUMP-HEALTHY,2026-01-01T01:55:00,480.03,3035.27,99.1,2.92,60.8,47.52,22.81,39.65,running,1,0,0,12,1.4862,-0.2273,0.2163,0
PUMP-HEALTHY,2026-01-01T02:00:00,484.42,3006.97,102.05,1.08,60.82,49.89,24.17,51.43,running,1,0,2,12,-1.8421,2.9504,0.0187,0
PUMP-HEALTHY,2026-01-01T02:05:00,477.39,2989.58,102.7,1.6,63.16,47.76,22.8,53.8,running,1,0,0,12,0.5205,0.6494,2.3419,0
PUMP-HEALTHY,2026-01-01T02:10:00,475.73,2971.32,99.86,2.87,68.81,49.38,23.49,56.98,running,1,0,2,12,1.2665,-2.8454,5.6469,0
PUMP-HEALTHY,2026-01-01T02:15:00,481.12,3048.72,102.58,1.02,68.17,48.39,23.28,42.48,running,1,0,0,12,-1.8509,2.7214,-0.6376,0
PUMP-HEALTHY,2026-01-01T02:20:00,483.9,3024.24,99.09,1.56,62.11,48.92,23.67,43.57,running,1,0,2,12,0.5479,-3.4897,-6.0647,0
PUMP-HEALTHY,2026-01-01T02:25:00,484.05,3034.61,98.65,1.85,62.77,47.74,23.11,35.09,running,1,0,3,12,0.2836,-0.442,0.6605,0
PUMP-HEALTHY,2026-01-01T02:30:00,480.52,2992.77,98.07,1.15,68.83,50.59,24.31,57.6,running,1,0,1,12,-0.6967,-0.5784,6.0643,0
PUMP-HEALTHY,2026-01-01T02:35:00,479.3,2954.18,100.55,2.87,69.72,45.85,21.98,36.0,running,1,0,2,12,1.7157,2.4849,0.8909,0
PUMP-HEALTHY,2026-01-01T02:40:00,482.8,3038.41,100.84,2.24,61.55,52.18,25.19,58.25,running,1,0,3,12,-0.6249,0.2921,-8.1764,0
PUMP-HEALTHY,2026-01-01T02:45:00,475.25,3023.66,100.33,2.86,68.02,51.04,24.25,56.6,running,1,0,0,12,0.6203,-0.5193,6.4768,0
PUMP-HEALTHY,2026-01-01T02:50:00,478.83,2953.87,101.29,1.4,69.18,49.06,23.49,43.74,running,1,0,1,12,-1.4625,0.9695,1.1622,0
PUMP-HEALTHY,2026-01-01T02:55:00,478.98,2977.86,98.49,2.55,63.51,49.23,23.58,47.74,running,1,0,0,12,1.1475,-2.8089,-5.6731,0
PUMP-HEALTHY,2026-01-01T03:00:00,476.15,3047.04,99.25,2.93,62.65,46.21,22.0,37.71,running,1,0,4,12,0.3784,0.764,-0.8568,0
PUMP-HEALTHY,2026-01-01T03:05:00,484.84,2961.56,104.3,1.38,60.44,48.75,23.63,45.9,running,1,0,1,12,-1.5449,5.0466,-2.2108,0
PUMP-HEALTHY,2026-01-01T03:10:00,478.64,2957.0,102.65,1.66,63.14,50.88,24.35,56.2,running,1,0,3,12,0.2802,-1.6469,2.6953,0
PUMP-HEALTHY,2026-01-01T03:15:00,478.26,3019.72,101.88,1.38,66.65,48.85,23.36,44.48,running,1,0,3,12,-0.2767,-0.7688,3.5101,0
PUMP-HEALTHY,2026-01-01T03:20:00,480.48,2950.04,100.01,1.86,65.8,49.15,23.61,51.37,running,1,0,3,12,0.4761,-1.8725,-0.8494,0
PUMP-HEALTHY,2026-01-01T03:25:00,482.94,3045.98,103.15,2.32,62.84,50.01,24.15,51.6,running,1,0,1,12,0.4579,3.1433,-2.962,0
