machine_id,timestamp,voltage,rpm,pressure_psi,vibration_mm_s,temperature_c,current,power_kw,load_pct,operating_state,maintenance_count,error_count_24h,error_count_7d,age,vibration_delta,pressure_delta,temperature_delta,failure
PUMP-MONITOR,2026-01-01T00:00:00,475.09,3166.7,94.29,4.24,76.78,50.0,23.75,63.01,degraded,6,0,1,5,0.0,0.0,0.0,0
PUMP-MONITOR,2026-01-01T00:05:00,475.71,2963.58,113.21,4.19,82.71,48.22,22.94,58.16,degraded,6,0,2,5,-0.0421,18.9113,5.9258,0
PUMP-MONITOR,2026-01-01T00:10:00,472.76,3101.84,113.23,5.1,82.34,52.52,24.83,75.13,degraded,6,0,1,5,0.9046,0.0234,-0.3703,0
PUMP-MONITOR,2026-01-01T00:15:00,479.04,3143.96,114.89,4.51,72.66,52.57,25.18,69.21,degraded,6,0,2,5,-0.5883,1.6613,-9.6834,0
PUMP-MONITOR,2026-01-01T00:20:00,485.66,3130.82,99.75,5.81,83.26,54.03,26.24,74.48,degraded,6,0,1,5,1.2981,-15.1426,10.6025,0
PUMP-MONITOR,2026-01-01T00:25:00,470.16,3128.62,101.7,5.12,79.11,51.55,24.23,71.85,degraded,6,0,2,5,-0.6892,1.9567,-4.1443,0
PUMP-MONITOR,2026-01-01T00:30:00,482.45,2922.52,98.54,3.64,71.76,51.03,24.62,56.37,degraded,6,0,3,5,-1.4779,-3.1612,-7.3509,0
PUMP-MONITOR,2026-01-01T00:35:00,481.97,2900.61,99.74,3.93,79.71,52.08,25.1,66.7,degraded,6,0,2,5,0.2857,1.193,7.9487,0
PUMP-MONITOR,2026-01-01T00:40:00,473.96,2926.04,93.46,5.06,74.85,48.58,23.02,61.01,degraded,6,0,2,5,1.129,-6.2724,-4.857,0
PUMP-MONITOR,2026-01-01T00:45:00,489.02,3072.74,110.2,3.82,81.46,53.04,25.94,77.91,degraded,6,0,0,5,-1.2389,16.7383,6.603,0
PUMP-MONITOR,2026-01-01T00:50:00,477.13,3078.59,102.58,4.83,84.81,53.81,25.67,73.77,degraded,6,0,3,5,1.016,-7.6173,3.352,0
